Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-01-31,AMC,0P00011H0G,6.7684758413868975,6.828109933398676,6.460366129027893,6.480244159698486,1883300,70.822,0
2020-02-03,AMC,0P00011H0G,6.460366070484666,6.549817444656551,6.370914696312782,6.410670757293701,1405700,70.822,0
2020-02-04,AMC,0P00011H0G,6.420609774240633,6.649207353469496,6.351036433108505,6.6094512939453125,2004400,70.822,0
2020-02-05,AMC,0P00011H0G,6.679024449674087,7.056707505398923,6.649207640707703,6.957317352294922,2167200,70.822,0
2020-02-06,AMC,0P00011H0G,6.987134209519152,7.086524356568084,6.688963294442753,6.708841323852539,2713400,70.822,0
2020-02-07,AMC,0P00011H0G,6.659146253011936,6.708841565289633,6.5001220120106975,6.510061264038086,2063000,70.822,0
2020-02-10,AMC,0P00011H0G,6.510061260543898,6.788353682146695,6.430548666156335,6.748597621917725,1360300,70.822,0
2020-02-11,AMC,0P00011H0G,6.7585369316266535,6.937439204184027,6.609451467530696,6.897683143615723,1568500,70.822,0
2020-02-12,AMC,0P00011H0G,6.8877438933710415,7.036829357507306,6.778414963743456,6.81817102432251,1922100,70.822,0
2020-02-13,AMC,0P00011H0G,6.708841732570104,7.036829474778124,6.679024449674087,6.957317352294922,1553400,70.822,0
2020-02-14,AMC,0P00011H0G,6.967256482935008,7.146158755398914,6.838049049190708,7.056707382202148,1706000,69.6617,0
2020-02-18,AMC,0P00011H0G,7.046768485335118,7.20579272484667,6.987134395518286,6.997073173522949,2142800,69.6617,0
2020-02-19,AMC,0P00011H0G,7.056707089558477,7.394634064128218,7.016951030659637,7.2654266357421875,2308500,69.6617,0
2020-02-20,AMC,0P00011H0G,7.275366068156124,7.732561230779384,7.166036666503706,7.712683200836182,3649100,69.6617,0
2020-02-21,AMC,0P00011H0G,7.653048512887779,7.702743823904167,7.285304727941268,7.4145121574401855,3034300,69.6617,0
2020-02-24,AMC,0P00011H0G,7.096463264265887,7.096463264265887,6.798292817658689,7.007012367248535,3210900,69.6617,0
2020-02-25,AMC,0P00011H0G,6.95731717881888,7.235610074500668,6.440487921635233,6.510061264038086,4181000,69.6617,0
2020-02-26,AMC,0P00011H0G,6.52993916601282,6.579634003385633,5.834207177426938,5.89384126663208,7176800,69.6617,0
2020-02-27,AMC,0P00011H0G,5.675182942934673,6.162194908698887,5.088780354506272,6.052865982055664,6294000,69.6617,0
2020-02-28,AMC,0P00011H0G,6.470305020872526,6.609451227814952,5.943536526553214,6.221829414367676,7555900,61.982,0
2020-03-02,AMC,0P00011H0G,6.271524186239224,6.281463437882502,5.595670714173163,6.072743892669678,4585400,61.982,0
2020-03-03,AMC,0P00011H0G,6.062805006107811,6.09262228890354,5.60560982943752,5.77457332611084,3843000,61.982,0
2020-03-04,AMC,0P00011H0G,5.824268580542137,5.864024641247847,5.396890217061307,5.784512519836426,4483700,61.982,0
2020-03-05,AMC,0P00011H0G,5.565853325473923,5.5757925769248775,4.721036383256116,4.889999866485596,5853100,61.982,0
2020-03-06,AMC,0P00011H0G,4.619999885559082,4.730000019073486,4.369999885559082,4.53000020980835,4599900,61.982,0
2020-03-09,AMC,0P00011H0G,3.950000047683716,4.070000171661377,3.680000066757202,3.849999904632568,3404000,61.982,0
2020-03-10,AMC,0P00011H0G,4.170000076293945,4.289999961853027,3.759999990463257,4.199999809265137,3687000,61.982,0
2020-03-11,AMC,0P00011H0G,3.9800000190734863,4.070000171661377,3.559999942779541,3.640000104904175,4059400,61.982,0
2020-03-12,AMC,0P00011H0G,2.680000066757202,3.150000095367432,2.650000095367432,2.9100000858306885,8058000,61.982,0
2020-03-13,AMC,0P00011H0G,3.140000104904175,3.2699999809265137,2.799999952316284,3.220000028610229,6158300,54.8744,0
2020-03-16,AMC,0P00011H0G,2.640000104904175,2.900000095367432,2.5999999046325684,2.5999999046325684,8497900,54.8744,0
2020-03-17,AMC,0P00011H0G,2.619999885559082,2.75,1.950000047683716,2.4800000190734863,7685700,54.8744,0
2020-03-18,AMC,0P00011H0G,2.2799999713897705,3.0,2.109999895095825,2.470000028610229,7753500,54.8744,0
2020-03-19,AMC,0P00011H0G,2.640000104904175,3.470000028610229,2.380000114440918,3.369999885559082,8614600,54.8744,0
2020-03-20,AMC,0P00011H0G,3.400000095367432,3.5999999046325684,3.0199999809265137,3.190000057220459,5754000,54.8744,0
2020-03-23,AMC,0P00011H0G,3.2300000190734863,3.400000095367432,2.7100000381469727,3.150000095367432,6481300,54.8744,0
2020-03-24,AMC,0P00011H0G,3.5,3.559999942779541,3.2699999809265137,3.559999942779541,5168300,54.8744,0
2020-03-25,AMC,0P00011H0G,3.920000076293945,3.9800000190734863,3.25,3.4600000381469727,8112900,54.8744,0
2020-03-26,AMC,0P00011H0G,3.4600000381469727,3.950000047683716,3.440000057220459,3.700000047683716,5094700,54.8744,0
2020-03-27,AMC,0P00011H0G,3.569999933242798,3.75,3.299999952316284,3.5999999046325684,3431400,54.8744,0
2020-03-30,AMC,0P00011H0G,3.450000047683716,3.5,3.039999961853028,3.039999961853028,4219700,54.8744,0
2020-03-31,AMC,0P00011H0G,3.150000095367432,3.289999961853028,3.0799999237060547,3.1600000858306885,3637100,47.1044,0
2020-04-01,AMC,0P00011H0G,3.0,3.039999961853028,2.5,2.619999885559082,5898600,47.1044,0
2020-04-02,AMC,0P00011H0G,2.740000009536743,2.7799999713897705,2.180000066757202,2.240000009536743,8808100,47.1044,0
2020-04-03,AMC,0P00011H0G,2.319999933242798,2.3399999141693115,2.0,2.2699999809265137,7493400,47.1044,0
2020-04-06,AMC,0P00011H0G,2.5,2.970000028610229,2.400000095367432,2.880000114440918,6912000,47.1044,0
2020-04-07,AMC,0P00011H0G,3.1700000762939453,3.7300000190734863,3.049999952316284,3.140000104904175,8977100,47.1044,0
